generation,mean_fitness,best_fitness
0,49.853,355.667
1,79.913,453.000
2,182.393,2261.667
3,314.200,2411.667
4,656.380,10548.667
5,408.980,1808.333
6,549.527,3013.667
7,648.420,7685.667
8,1150.907,13110.000
9,1146.780,8889.667
10,1673.027,19138.333
11,2547.507,21400.000
12,3309.760,21400.000
13,3965.053,21400.000
14,6122.287,21400.000
15,10561.940,21400.000
16,13140.280,21400.000
17,13834.760,21400.000
18,16536.400,21400.000
19,17652.380,21400.000
20,16595.513,21400.000
21,15870.760,21400.000
22,16413.013,21400.000
23,16412.173,21400.000
24,19132.573,21400.000
25,17338.073,21400.000
26,17621.547,21400.000
27,17385.287,21400.000
28,17849.793,21400.000
29,17867.133,21400.000
